date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:05	53769/53769	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2016%20Jun%202021%2010:05:07%20GMT	http://cdn.shopify.com/s/files/1/0032/3423/4479/t/309/assets/fostr-helpers.min.js?v=12582597957271476752	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/s/files/1/0032/3423/4479/t/309/assets/fostr-helpers.min71e0.js	(from https://beistravel.com/)
11:02:05	95938/95938	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2022%20Jun%202021%2011:02:05%20GMT	http://connect.facebook.net/en_US/fbevents.js	C:/Users/NUC/Desktop/beis/beistravel/connect.facebook.net/en_US/fbevents.js	(from https://beistravel.com/)
11:02:07	1320/1320	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Jun%202021%2010:07:12%20GMT	http://cdn.shopify.com/s/files/1/0032/3423/4479/t/309/assets/instabadge.css?v=3420989036557603821	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/s/files/1/0032/3423/4479/t/309/assets/instabadgefa96.css	(from https://beistravel.com/)
11:02:07	86659/86659	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/Users/NUC/Desktop/beis/beistravel/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://beistravel.com/)
11:02:08	1868/1868	---M-Z	200	added ('OK')	text/css	etag:%225eb03e59-74c%22	http://cdnjs.cloudflare.com/ajax/libs/featherlight/1.7.13/featherlight.min.css	C:/Users/NUC/Desktop/beis/beistravel/cdnjs.cloudflare.com/ajax/libs/featherlight/1.7.13/featherlight.min.css	(from https://beistravel.com/)
11:02:09	9220/9220	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e59-2404%22	http://cdnjs.cloudflare.com/ajax/libs/featherlight/1.7.13/featherlight.min.js	C:/Users/NUC/Desktop/beis/beistravel/cdnjs.cloudflare.com/ajax/libs/featherlight/1.7.13/featherlight.min.js	(from https://beistravel.com/)
11:02:09	1555/1555	---M--	200	added ('OK')	image/gif	date:Tue,%2008%20Jun%202021%2010:44:13%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/no-image-100-c91dd4bdb56513f2cbf4fc15436ca35e9d4ecd014546c8d421b1aece861dfecf_small.gif	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/shopifycloud/shopify/assets/no-image-100-c91dd4bdb56513f2cbf4fc15436ca35e9d4ecd014546c8d421b1aece861dfecf_small.gif	(from https://beistravel.com/)
11:02:11	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258d026fb-15283%22	https://code.jquery.com/jquery-3.2.1.min.js	C:/Users/NUC/Desktop/beis/beistravel/code.jquery.com/jquery-3.2.1.min.js	(from https://beistravel.com/)
11:02:12	42798/42798	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260d11a2f-a72e%22	https://app.termly.io/embed.min.js	C:/Users/NUC/Desktop/beis/beistravel/app.termly.io/embed.min.js	(from https://beistravel.com/)
11:02:14	160419/160419	---MCZ	200	added ('OK')	text/html	etag:cacheable:4c64ed269068ac121021cb7cdf369f24	https://beistravel.com/cart	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/cart.html	(from https://beistravel.com/)
11:02:14	142/142	---MC-	302	error ('Found')	text/html	date:Tue,%2022%20Jun%202021%2011:02:12%20GMT	https://beistravel.com/checkout	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/checkout.24.delayed	(from https://beistravel.com/)
11:02:14	93/93	---MC-	302	error ('Found')	text/html	date:Tue,%2022%20Jun%202021%2011:02:14%20GMT	https://beistravel.com/3234234479/checkouts/e19fbd12c68a08fcc4ec02ff80c69ffb	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/3234234479/checkouts/e19fbd12c68a08fcc4ec02ff80c69ffb	(from https://beistravel.com/)
11:02:20	532122/532122	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2016%20Jun%202021%2010:04:13%20GMT	http://cdn.shopify.com/s/files/1/0032/3423/4479/t/309/assets/app.js?v=18271097462821468418	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/s/files/1/0032/3423/4479/t/309/assets/app04ae.js	(from https://beistravel.com/)
11:02:20	603965/603965	---MCZ	200	added ('OK')	text/html	etag:cacheable:7cfe8015b330f54c1d22c935fc07c453	https://beistravel.com/collections/featured-collection	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/featured-collection.html	(from https://beistravel.com/)
11:02:20	966803/966803	---MCZ	200	added ('OK')	text/html	etag:cacheable:11183564ca625576e5d3c020f0a1e5b2	https://beistravel.com/collections/all	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/all.html	(from https://beistravel.com/)
11:02:20	729575/729575	---MCZ	200	added ('OK')	text/html	etag:cacheable:09838f0e585c5e7fa3b4eb53349404f9	https://beistravel.com/collections/bags	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/bags.html	(from https://beistravel.com/)
